Light,Pressure,X,Y,Z
0,0,0.71,-0.04,-9.14
0,0,0.75,-0.04,-9.1
0,0,0.63,-0.08,-9.22
0,0,0.59,-0.12,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.55,-0.12,-9.1
0,0,0.67,0,-9.18
0,0,0.71,-0.04,-9.18
0,0,0.63,-0.08,-9.06
0,0,0.67,-0.08,-9.18
0,0,0.63,-0.04,-9.18
0,0,0.63,-0.04,-9.1
0,0,0.63,0,-9.18
0,0,0.59,-0.04,-9.1
0,0,0.63,0,-9.14
0,0,0.71,-0.08,-9.14
0,0,0.63,-0.04,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.63,-0.04,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.63,-0.08,-9.14
0,0,0.63,-0.04,-9.14
0,0,0.71,-0.04,-9.1
0,0,0.63,0,-9.1
0,0,0.63,0,-9.06
0,0,0.71,-0.04,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.67,0,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.67,-0.04,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.63,0,-9.14
0,0,0.59,-0.04,-9.14
0,0,0.63,0,-9.1
0,0,0.63,-0.08,-9.14
0,0,0.63,-0.08,-9.18
0,0,0.67,-0.04,-9.14
0,0,0.55,-0.04,-9.06
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,-0.04,-9.1
0,0,0.59,-0.08,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.04,-9.06
0,0,0.67,0,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.71,-0.04,-9.1
0,0,0.63,0,-9.18
0,0,0.67,-0.08,-9.18
0,0,0.63,-0.04,-9.14
0,0,0.67,-0.04,-9.1
0,0,0.67,-0.08,-9.1
0,0,0.63,0,-9.1
0,0,0.71,0,-9.06
0,0,0.67,0,-9.1
0,0,0.63,-0.04,-9.02
0,0,0.67,0,-9.06
0,0,0.63,-0.04,-9.1
0,0,0.63,0,-9.02
0,0,0.63,-0.04,-9.06
0,0,0.67,-0.04,-9.18
0,0,0.63,-0.04,-9.14
0,0,0.67,0,-9.18
0,0,0.63,-0.04,-9.18
0,0,0.63,-0.04,-9.14
0,0,0.67,-0.08,-9.1
0,0,0.67,-0.04,-9.14
0,0,0.63,-0.04,-9.06
0,0,0.67,0,-9.14
0,0,0.67,-0.04,-9.14
0,0,0.71,-0.04,-9.06
0,0,0.59,-0.04,-9.02
0,0,0.67,-0.04,-9.14
0,0,0.67,0,-9.14
0,0,0.63,0,-9.18
0,0,0.67,-0.08,-9.14
0,0,0.63,0,-9.14
0,0,0.63,-0.04,-9.06
0,0,0.67,-0.04,-9.14
0,0,0.67,0,-9.14
0,0,0.67,-0.08,-9.18
0,0,0.63,0,-9.1
0,0,0.67,-0.04,-9.1
0,0,0.63,-0.04,-9.14
0,0,0.63,-0.04,-9.1
0,0,0.63,-0.08,-9.06
0,0,0.67,-0.04,-9.14
0,0,0.63,-0.04,-9.1
0,0,0.67,-0.04,-9.14
2,0,0.59,-0.08,-9.1
506,0,0.63,0,-9.1
1001,0,0.63,-0.04,-9.14
1000,0,0.67,-0.04,-9.18
970,0,0.63,-0.08,-9.18
